,,
,,
,,
Nombre de la vivienda,Tornasol,
Dirección,"Calle Gran Canaria, 15, apt 6 (Corralejo)",
Link maps,https://maps.app.goo.gl/5a75H8SeA9ofzaCr5,
Link video,https://www.youtube.com/watch?v=i8TuyvftXO0,
Codigo Caja,0333,
Piscina,n/a,
Como llegar,,
,Taxi,(aprox) 65eur
,Te podemos llevar,(max 2p) 45eur
,Bus,L3+L6
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,n/a,
Parking,n/a,
Basura,https://maps.app.goo.gl/FhR5wmgchX4KtHAQ9,
Supermercados,https://maps.app.goo.gl/U3CBbdZ4AKyL1MNC6,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
