,,
,,
,,
Nombre de la vivienda,Pescadores,
Dirección,"Calle Galera 5, apt 225, Pueblo de Pescadores, Caleta de Fuste",
Link maps,https://maps.app.goo.gl/nY1WMLmBEAqZsJvXA,
Link video,https://www.youtube.com/watch?v=L3RRbTU5hk0,
Codigo Caja,2909,
Piscina,n/a,
Como llegar,n/a,
,Taxi,(aprox) 25eur
,Te podemos llevar (max 2 personas),n/a
,Bus,n/a
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,n/a,
Parking,n/a,
Basura,https://maps.app.goo.gl/Z7dq6eb8876RW89JA,
Supermercados,https://maps.app.goo.gl/2MuFamKmAmjeJB6U7,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
