,,
,,
,,
Nombre de la vivienda,Hoplaco,
Dirección,"C/ Nuestra señora del carmen, 7. house /  casa 37",
Link maps,https://maps.app.goo.gl/iBTYy3ZqV7JSPhg8A,
Link video,https://www.youtube.com/watch?v=iVQk5lliIAI,
Codigo Caja,2992,
Piscina,n/a,
Como llegar,,
,Taxi,(aprox) 65eur
,Te podemos llevar,(max 2p) 45eur
,Bus,L3+L6
Link Normas,https://maavsl.github.io/WEB1/reglas.html,
telefono,00 34 688 91 07 40,
Fotos,https://www.airbnb.es/hosting/listings/editor/1153758159580712282/details/photo-tour/496400051,
Parking,https://maps.app.goo.gl/sRNNGZomMXLFxATj9,
Basura,https://maps.app.goo.gl/9Phy9uvtKa1qebgz9,
Supermercados,https://maps.app.goo.gl/8e5qfBQT6tm9qeit9,
Playas y Actividades,https://visitfuerte.my.canva.site/mapa,
Restaurantes,https://maavsl.github.io/WEB1/restaurantes.html,
Fuerte en 7 dias,https://maavsl.github.io/WEB1/7dias.html,
